,emoji,synsets,synsets_names
4129,⏏,"[""131923-N"", ""131920-N"", ""118086-N"", ""124117-N""]","[""КНОПКА ВКЛЮЧЕНИЯ"", ""КАНЦЕЛЯРСКАЯ КНОПКА"", ""КНОПКА (ЗАСТЕЖКА)"", ""МАЛЫШ""]"
4130,🎦,"[""1440-N"", ""112129-N"", ""1421-N"", ""142017-N"", ""145849-N"", ""137914-N"", ""1418-N""]","[""ФИЛЬМ"", ""ДЕМОНСТРАЦИОННЫЙ ЭКРАН"", ""КИНЕМАТОГРАФИЯ"", ""КИНОЭКРАН"", ""ЭКРАН (ЭЛЕКТРОННОЕ УСТРОЙСТВО)"", ""ЗАЩИТНЫЙ ЭКРАН"", ""КИНОТЕАТР""]"
4131,🔅,"[""131923-N"", ""139630-N"", ""131920-N"", ""118086-N"", ""124117-N"", ""118355-N"", ""115151-N"", ""110893-N"", ""110894-N"", ""140756-N"", ""139629-N""]","[""КНОПКА ВКЛЮЧЕНИЯ"", ""ЯРКОСТЬ СВЕТА"", ""КАНЦЕЛЯРСКАЯ КНОПКА"", ""КНОПКА (ЗАСТЕЖКА)"", ""МАЛЫШ"", ""ЯРКИЙ ПО ЦВЕТУ"", ""СНИЗИТЬСЯ (СПУСТИТЬСЯ НИЖЕ)"", ""ПОНИЗИТЬСЯ (УМЕНЬШИТЬСЯ)"", ""ПОНИЗИТЬ ВЕЛИЧИНУ"", ""СНИЗИТЬСЯ (УХУДШИТЬСЯ)"", ""ЯРКИЙ (ВЫРАЗИТЕЛЬНЫЙ)""]"
4132,🔆,"[""131923-N"", ""118355-A"", ""139630-N"", ""116938-A"", ""131920-N"", ""118086-N"", ""118355-N"", ""124117-N"", ""139629-A"", ""106639-N"", ""106640-N"", ""139629-N""]","[""КНОПКА ВКЛЮЧЕНИЯ"", ""ЯРКИЙ ПО ЦВЕТУ"", ""ЯРКОСТЬ СВЕТА"", ""ЯРКИЙ ПО СВЕТУ"", ""КАНЦЕЛЯРСКАЯ КНОПКА"", ""КНОПКА (ЗАСТЕЖКА)"", ""ЯРКИЙ ПО ЦВЕТУ"", ""МАЛЫШ"", ""ЯРКИЙ (ВЫРАЗИТЕЛЬНЫЙ)"", ""УВЕЛИЧИТЬСЯ"", ""УВЕЛИЧИТЬ"", ""ЯРКИЙ (ВЫРАЗИТЕЛЬНЫЙ)""]"
4133,📶,"[""145087-N"", ""3746-N"", ""5399-N"", ""135447-N"", ""107201-N"", ""135446-N"", ""134779-N"", ""107520-N"", ""145854-N"", ""129508-N"", ""151741-N""]","[""ЭЛЕКТРОМАГНИТНЫЙ СИГНАЛ"", ""АНТЕННА"", ""БАР (ПИТЕЙНОЕ ЗАВЕДЕНИЕ)"", ""ФИЗИЧЕСКАЯ СИЛА"", ""ЛЕСТНИЦА"", ""СИЛА, ЖИЗНЕННАЯ СИЛА"", ""БАРИН"", ""СИГНАЛ (УСЛОВНЫЙ ЗНАК)"", ""ПРЕДУПРЕЖДЕНИЕ (ИНФОРМАЦИЯ)"", ""СИЛА (ФИЗИЧЕСКАЯ ВЕЛИЧИНА)"", ""СИЛА ВЛИЯНИЯ""]"
4134,📳,"[""114518-N"", ""130006-N"", ""9117-N"", ""114562-A"", ""109908-N"", ""151436-N"", ""107225-N"", ""2414-N"", ""135043-N"", ""119637-A"", ""123512-A"", ""120992-N""]","[""ВИБРАЦИЯ"", ""ТЕЛЕФОННЫЙ АППАРАТ"", ""ТЕЛЕФОННЫЙ НОМЕР"", ""ТИХИЙ, НЕГРОМКИЙ"", ""СЕРДЦЕ (ОРГАН КРОВЕНОСНОЙ СИСТЕМЫ)"", ""ПОЛИТИЧЕСКИЙ РЕЖИМ"", ""РАСПОРЯДОК"", ""ТЕЛЕФОННАЯ СВЯЗЬ"", ""РЕЖИМ (УСЛОВИЯ ДЕЯТЕЛЬНОСТИ)"", ""ТИХИЙ, НЕ ОЖИВЛЕННЫЙ"", ""СМИРНЫЙ, ТИХИЙ"", ""СЕРДЦЕ (СИМВОЛИЧЕСКОЕ ИЗОБРАЖЕНИЕ)""]"
4135,📴,"[""130006-N"", ""9117-N"", ""2414-N"", ""117195-V"", ""142136-V"", ""117872-V"", ""132697-A"", ""115692-V""]","[""ТЕЛЕФОННЫЙ АППАРАТ"", ""ТЕЛЕФОННЫЙ НОМЕР"", ""ТЕЛЕФОННАЯ СВЯЗЬ"", ""ЗАВЕРНУТЬ, СВЕРНУТЬ (ПОВЕРНУТЬ)"", ""СВЕРНУТЬ В ТРУБКУ"", ""СВЕРНУТЬ (СЛОМАТЬ)"", ""МОБИЛЬНЫЙ (ПЕРЕДВИЖНОЙ)"", ""СВЕРНУТЬ (СОКРАТИТЬ)""]"
4136,♀️,"[""118639-N"", ""151773-N"", ""132890-N"", ""107519-N"", ""756-N"", ""107585-N""]","[""ЗНАК РУКОЙ"", ""ЗНАК (ПРЕДМЕТ)"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)""]"
4137,♀,"[""118639-N"", ""151773-N"", ""132890-N"", ""107519-N"", ""756-N"", ""107585-N""]","[""ЗНАК РУКОЙ"", ""ЗНАК (ПРЕДМЕТ)"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)""]"
4138,♂️,"[""118639-N"", ""153536-N"", ""2149-N"", ""151773-N"", ""122197-N"", ""138575-N"", ""107519-N"", ""2453-N"", ""107585-N""]","[""ЗНАК РУКОЙ"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""ЧЕЛОВЕК"", ""ЗНАК (ПРЕДМЕТ)"", ""ПЛАНЕТА МАРС"", ""НАСТОЯЩИЙ МУЖЧИНА"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)""]"
4139,♂,"[""118639-N"", ""153536-N"", ""2149-N"", ""151773-N"", ""122197-N"", ""138575-N"", ""107519-N"", ""2453-N"", ""107585-N""]","[""ЗНАК РУКОЙ"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""ЧЕЛОВЕК"", ""ЗНАК (ПРЕДМЕТ)"", ""ПЛАНЕТА МАРС"", ""НАСТОЯЩИЙ МУЖЧИНА"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)""]"
4140,⚧️,"[""118639-N"", ""151773-N"", ""107519-N"", ""107585-N""]","[""ЗНАК РУКОЙ"", ""ЗНАК (ПРЕДМЕТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)""]"
4141,⚧,"[""118639-N"", ""151773-N"", ""107519-N"", ""107585-N""]","[""ЗНАК РУКОЙ"", ""ЗНАК (ПРЕДМЕТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)""]"
4142,✖️,"[""111739-V"", ""134075-V""]","[""МНОЖИТЬ, ВЫЧИСЛИТЬ ПРОИЗВЕДЕНИЕ"", ""МНОЖИТЬ (УВЕЛИЧИТЬ)""]"
4143,✖,"[""111739-V"", ""134075-V""]","[""МНОЖИТЬ, ВЫЧИСЛИТЬ ПРОИЗВЕДЕНИЕ"", ""МНОЖИТЬ (УВЕЛИЧИТЬ)""]"
4144,➕,[],[]
4145,➖,"[""152937-N"", ""106499-N"", ""110681-N"", ""112825-N"", ""152543-N""]","[""МИНУСОВАЯ ТЕМПЕРАТУРА"", ""НЕДОСТАТОК, НЕПРАВИЛЬНОСТЬ"", ""ВЫЧИТАНИЕ"", ""МИНУС (МАТЕМАТИЧЕСКИЙ ЗНАК)"", ""ОТРИЦАТЕЛЬНОЕ ЧИСЛО""]"
4146,➗,"[""107410-V"", ""119240-V"", ""111738-V""]","[""ДЕЛИТЬ, РАЗДЕЛЯТЬ НА ЧАСТИ"", ""РАЗДЕЛЯТЬ ЧУВСТВО"", ""ДЕЛИТЬ, ВЫЧИСЛИТЬ ЧАСТНОЕ""]"
4147,♾️,"[""124633-N""]","[""БЕСКОНЕЧНЫЙ ПО ВРЕМЕНИ""]"
4148,♾,"[""124633-N""]","[""БЕСКОНЕЧНЫЙ ПО ВРЕМЕНИ""]"
4149,‼️,"[""8217-N"", ""2419-N"", ""106892-N"", ""119873-A"", ""112099-N"", ""103703-N""]","[""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ДВОЙНОЙ, ИЗ ДВУХ ЧАСТЕЙ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""МАРКА НЕМЕЦКАЯ""]"
4150,‼,"[""8217-N"", ""2419-N"", ""106892-N"", ""119873-A"", ""112099-N"", ""103703-N""]","[""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ДВОЙНОЙ, ИЗ ДВУХ ЧАСТЕЙ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""МАРКА НЕМЕЦКАЯ""]"
4151,⁉️,"[""107255-N"", ""110855-N"", ""8217-N"", ""2419-N"", ""106892-N"", ""103703-N"", ""106780-N"", ""112099-N""]","[""ВОПРОС (ОБРАЩЕНИЕ)"", ""ВОПРОСИТЕЛЬНЫЙ ЗНАК"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""МАРКА НЕМЕЦКАЯ"", ""ВОПРОС,  ПРОБЛЕМА"", ""МАРКА (ЗНАК ОПЛАТЫ)""]"
4152,⁉,"[""107255-N"", ""110855-N"", ""8217-N"", ""2419-N"", ""106892-N"", ""103703-N"", ""106780-N"", ""112099-N""]","[""ВОПРОС (ОБРАЩЕНИЕ)"", ""ВОПРОСИТЕЛЬНЫЙ ЗНАК"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""МАРКА НЕМЕЦКАЯ"", ""ВОПРОС,  ПРОБЛЕМА"", ""МАРКА (ЗНАК ОПЛАТЫ)""]"
4153,❓,"[""107255-N"", ""110855-N"", ""8217-N"", ""2419-N"", ""103703-N"", ""112099-N"", ""109437-A"", ""106892-N"", ""106780-N""]","[""ВОПРОС (ОБРАЩЕНИЕ)"", ""ВОПРОСИТЕЛЬНЫЙ ЗНАК"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""КРАСНЫЙ ЦВЕТ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ВОПРОС,  ПРОБЛЕМА""]"
4154,❔,"[""109494-A"", ""107255-N"", ""110855-N"", ""8217-N"", ""2419-N"", ""103703-N"", ""112099-N"", ""118947-A"", ""106892-N"", ""106780-N""]","[""БЕЛЫЙ ЦВЕТ"", ""ВОПРОС (ОБРАЩЕНИЕ)"", ""ВОПРОСИТЕЛЬНЫЙ ЗНАК"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""БЕЛЫЙ (СВЕТЛЫЙ)"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ВОПРОС,  ПРОБЛЕМА""]"
4155,❕,"[""109494-A"", ""8217-N"", ""2419-N"", ""103703-N"", ""112099-N"", ""106892-N"", ""118947-A""]","[""БЕЛЫЙ ЦВЕТ"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""БЕЛЫЙ (СВЕТЛЫЙ)""]"
4156,❗,"[""8217-N"", ""2419-N"", ""103703-N"", ""112099-N"", ""109437-A"", ""106892-N""]","[""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""КРАСНЫЙ ЦВЕТ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ""]"
4157,〰️,"[""112209-N"", ""130094-N"", ""107584-N""]","[""ВОЛНА НА ВОДЕ"", ""ВИТОК (ЭТАП)"", ""ВОЛНА (КОЛЕБАТЕЛЬНОЕ ДВИЖЕНИЕ)""]"
4158,〰,"[""112209-N"", ""130094-N"", ""107584-N""]","[""ВОЛНА НА ВОДЕ"", ""ВИТОК (ЭТАП)"", ""ВОЛНА (КОЛЕБАТЕЛЬНОЕ ДВИЖЕНИЕ)""]"
4159,💱,"[""137784-N"", ""1338-N"", ""116304-N"", ""127207-N"", ""1315-N"", ""116305-N""]","[""ОБМЕНЯТЬСЯ (ВЗАИМНО СДЕЛАТЬ)"", ""ДЕНЕЖНАЯ ЕДИНИЦА"", ""ОБМЕНЯТЬ"", ""ОБМЕН ВЕЩЕСТВ"", ""СВОБОДНО КОНВЕРТИРУЕМАЯ ВАЛЮТА"", ""ОБМЕНЯТЬСЯ, ПРОИЗВЕСТИ ОБМЕН""]"
4160,💲,"[""118639-N"", ""151773-N"", ""107519-N"", ""1762-N""]","[""ЗНАК РУКОЙ"", ""ЗНАК (ПРЕДМЕТ)"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""АМЕРИКАНСКИЙ ДОЛЛАР""]"
4161,⚕️,"[""106569-N"", ""107233-N"", ""1047-A"", ""148255-N"", ""107585-N""]","[""СУТЬ, СУЩЕСТВО, СУЩНОСТЬ, СОДЕРЖАНИЕ"", ""СТЕРЖЕНЬ (ПРЕДМЕТ)"", ""МЕДИЦИНА"", ""СТЕРЖЕНЬ ДЛЯ РУЧКИ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)""]"
4162,⚕,"[""106569-N"", ""107233-N"", ""1047-A"", ""148255-N"", ""107585-N""]","[""СУТЬ, СУЩЕСТВО, СУЩНОСТЬ, СОДЕРЖАНИЕ"", ""СТЕРЖЕНЬ (ПРЕДМЕТ)"", ""МЕДИЦИНА"", ""СТЕРЖЕНЬ ДЛЯ РУЧКИ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)""]"
4163,♻️,"[""113030-N"", ""107585-N"", ""139843-N"", ""139003-N""]","[""ПЕРЕРАБОТАТЬ, ОСУЩЕСТВИТЬ ПЕРЕРАБОТКУ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ПЕРЕРАБОТАТЬ (ПЕРЕДЕЛАТЬ)"", ""ЛОГОТИП""]"
4164,♻,"[""113030-N"", ""107585-N"", ""139843-N"", ""139003-N""]","[""ПЕРЕРАБОТАТЬ, ОСУЩЕСТВИТЬ ПЕРЕРАБОТКУ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ПЕРЕРАБОТАТЬ (ПЕРЕДЕЛАТЬ)"", ""ЛОГОТИП""]"
4165,⚜️,"[""104871-N"", ""146685-A"", ""113447-A"", ""120024-A"", ""134793-A"", ""129543-A"", ""134862-N""]","[""ОРЛЕАН"", ""НОВЫЙ, ВМЕСТО ПРЕЖНЕГО"", ""НОВЫЙ ПО ВРЕМЕНИ ПОЯВЛЕНИЯ"", ""НЕИЗВЕСТНЫЙ, МАЛОИЗВЕСТНЫЙ"", ""СВЯТОЙ, СВЯЩЕННЫЙ"", ""СВЯТОЙ ПРАВЕДНИК"", ""СКАУТ""]"
4166,⚜,"[""104871-N"", ""146685-A"", ""113447-A"", ""120024-A"", ""134793-A"", ""129543-A"", ""134862-N""]","[""ОРЛЕАН"", ""НОВЫЙ, ВМЕСТО ПРЕЖНЕГО"", ""НОВЫЙ ПО ВРЕМЕНИ ПОЯВЛЕНИЯ"", ""НЕИЗВЕСТНЫЙ, МАЛОИЗВЕСТНЫЙ"", ""СВЯТОЙ, СВЯЩЕННЫЙ"", ""СВЯТОЙ ПРАВЕДНИК"", ""СКАУТ""]"
4167,🔱,"[""114059-N""]","[""ЭМБЛЕМА""]"
4168,📛,"[""113412-N"", ""131682-N"", ""2539-N"", ""148230-N"", ""140744-N"", ""136563-N"", ""108191-N""]","[""ОГОНЬ, ПЛАМЯ"", ""ИЗВЕСТНЫЙ ЧЕЛОВЕК"", ""ИМЯ ЧЕЛОВЕКА"", ""ПРИМЕНЕНИЕ ОГНЕСТРЕЛЬНОГО ОРУЖИЯ"", ""СТРАСТЬ (СИЛЬНОЕ ЧУВСТВО)"", ""ЛИЧНОЕ ИМЯ"", ""ОГОНЬ (СВЕТ ОТ ОСВЕТИТЕЛЬНЫХ ПРИБОРОВ)""]"
4169,🔰,"[""105071-A"", ""103703-N"", ""112099-N"", ""124674-N"", ""123732-N"", ""126923-A"", ""118098-N"", ""107585-N"", ""8217-N"", ""153528-N"", ""2419-N"", ""120174-V"", ""107441-V"", ""106892-N""]","[""ЯПОНИЯ"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""СТЕНД ДЛЯ ПОКАЗА"", ""ЩИТ (ЗАЩИТНОЕ СРЕДСТВО)"", ""ЯПОНСКИЙ ЯЗЫК"", ""ЩИТ ПРИБОРОВ"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""ТОРГОВАЯ МАРКА"", ""ВОИНСКИЙ ЩИТ"", ""ПОЧТОВАЯ МАРКА"", ""НАЧАТЬ (ПРИСТУПИТЬ К ИСПОЛЬЗОВАНИЮ)"", ""НАЧАТЬ, ПРИСТУПИТЬ, ПРИНЯТЬСЯ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ""]"
4170,⭕,"[""127272-N"", ""119167-A"", ""107029-N"", ""148914-N"", ""118244-A"", ""151640-A"", ""109470-N"", ""123454-A"", ""109437-A"", ""120852-N"", ""107630-N""]","[""ОКРУЖЕНИЕ, ОКРУЖАЮЩИЕ ЛЮДИ"", ""ИСТИННЫЙ, ВЕРНЫЙ"", ""ОКРУЖНОСТЬ (ГЕОМЕТРИЧЕСКАЯ ФИГУРА)"", ""ТУР СОРЕВНОВАНИЙ"", ""ПОЛЫЙ, ПУСТОЙ ВНУТРИ"", ""ПРАВИЛЬНЫЙ ПО ФОРМЕ"", ""КРУГ (ЧАСТЬ ПЛОСКОСТИ)"", ""ПРАВИЛЬНЫЙ, СООТВЕТСТВУЮЩИЙ ПРАВИЛАМ"", ""КРАСНЫЙ ЦВЕТ"", ""КРУГ, КРУГЛАЯ ПЛОЩАДКА"", ""КОЛЬЦО (ПРЕДМЕТ)""]"
4171,✅,"[""131923-N"", ""8217-N"", ""2419-N"", ""131920-N"", ""103703-N"", ""118086-N"", ""124117-N"", ""112099-N"", ""106690-V"", ""106892-N"", ""9316-N"", ""106695-V"", ""110172-N""]","[""КНОПКА ВКЛЮЧЕНИЯ"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""КАНЦЕЛЯРСКАЯ КНОПКА"", ""МАРКА НЕМЕЦКАЯ"", ""КНОПКА (ЗАСТЕЖКА)"", ""МАЛЫШ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""ИСПЫТАТЬ, ПРОВЕРИТЬ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ТЕРРИТОРИАЛЬНАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ"", ""ПРОВЕРИТЬ, УДОСТОВЕРИТЬСЯ В ПРАВИЛЬНОСТИ"", ""ТИК (ТКАНЬ)""]"
4172,☑️,"[""107053-N"", ""126190-N"", ""8217-N"", ""2419-N"", ""103703-N"", ""107069-N"", ""112099-N"", ""106690-V"", ""106892-N"", ""106695-V""]","[""КОРОБКА (ВМЕСТИЛИЩЕ)"", ""КОРОБОК (МАЛЕНЬКАЯ КОРОБКА)"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""КОРОБКА ЗДАНИЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""ИСПЫТАТЬ, ПРОВЕРИТЬ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ПРОВЕРИТЬ, УДОСТОВЕРИТЬСЯ В ПРАВИЛЬНОСТИ""]"
4173,☑,"[""107053-N"", ""126190-N"", ""8217-N"", ""2419-N"", ""103703-N"", ""107069-N"", ""112099-N"", ""106690-V"", ""106892-N"", ""106695-V""]","[""КОРОБКА (ВМЕСТИЛИЩЕ)"", ""КОРОБОК (МАЛЕНЬКАЯ КОРОБКА)"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""КОРОБКА ЗДАНИЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""ИСПЫТАТЬ, ПРОВЕРИТЬ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ПРОВЕРИТЬ, УДОСТОВЕРИТЬСЯ В ПРАВИЛЬНОСТИ""]"
4174,✔️,"[""8217-N"", ""2419-N"", ""103703-N"", ""112099-N"", ""106690-V"", ""106892-N"", ""9316-N"", ""106695-V"", ""110172-N""]","[""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""ИСПЫТАТЬ, ПРОВЕРИТЬ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ТЕРРИТОРИАЛЬНАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ"", ""ПРОВЕРИТЬ, УДОСТОВЕРИТЬСЯ В ПРАВИЛЬНОСТИ"", ""ТИК (ТКАНЬ)""]"
4175,✔,"[""8217-N"", ""2419-N"", ""103703-N"", ""112099-N"", ""106690-V"", ""106892-N"", ""9316-N"", ""106695-V"", ""110172-N""]","[""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""ИСПЫТАТЬ, ПРОВЕРИТЬ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ТЕРРИТОРИАЛЬНАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ"", ""ПРОВЕРИТЬ, УДОСТОВЕРИТЬСЯ В ПРАВИЛЬНОСТИ"", ""ТИК (ТКАНЬ)""]"
4176,❌,"[""8217-N"", ""142535-N"", ""2419-N"", ""103703-N"", ""124155-N"", ""125423-N"", ""112099-N"", ""106892-N"", ""120984-N""]","[""ТОРГОВАЯ МАРКА"", ""ИСПЫТАНИЯ В ЖИЗНИ"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""КРЕСТИТЬ, ОСЕНИТЬ КРЕСТОМ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""КРЕСТ (ФИГУРА)""]"
4177,❎,"[""131923-N"", ""8217-N"", ""2419-N"", ""131920-N"", ""118086-N"", ""124117-N"", ""103703-N"", ""124155-N"", ""112099-N"", ""125423-N"", ""142535-N"", ""106892-N"", ""120984-N""]","[""КНОПКА ВКЛЮЧЕНИЯ"", ""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""КАНЦЕЛЯРСКАЯ КНОПКА"", ""КНОПКА (ЗАСТЕЖКА)"", ""МАЛЫШ"", ""МАРКА НЕМЕЦКАЯ"", ""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""КРЕСТИТЬ, ОСЕНИТЬ КРЕСТОМ"", ""ИСПЫТАНИЯ В ЖИЗНИ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""КРЕСТ (ФИГУРА)""]"
4178,➰,"[""137334-N"", ""4042-N"", ""122084-N""]","[""ЦИКЛ ПРОИЗВЕДЕНИЙ"", ""КУРЕНИЕ"", ""ЦИКЛИЧЕСКИЙ ПРОЦЕСС""]"
4179,➿,"[""137334-N"", ""4042-N"", ""119873-A"", ""122084-N""]","[""ЦИКЛ ПРОИЗВЕДЕНИЙ"", ""КУРЕНИЕ"", ""ДВОЙНОЙ, ИЗ ДВУХ ЧАСТЕЙ"", ""ЦИКЛИЧЕСКИЙ ПРОЦЕСС""]"
4180,〽️,"[""8217-N"", ""2419-N"", ""103703-N"", ""106892-N"", ""106631-N"", ""2574-N"", ""112099-N"", ""106629-N"", ""106509-N""]","[""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ"", ""ВОИНСКАЯ ЧАСТЬ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ"", ""СОСТАВНАЯ ЧАСТЬ""]"
4181,〽,"[""8217-N"", ""2419-N"", ""103703-N"", ""106892-N"", ""106631-N"", ""2574-N"", ""112099-N"", ""106629-N"", ""106509-N""]","[""ТОРГОВАЯ МАРКА"", ""ПОЧТОВАЯ МАРКА"", ""МАРКА НЕМЕЦКАЯ"", ""МАРКА, МОДЕЛЬ, ОБРАЗЕЦ"", ""ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ"", ""ВОИНСКАЯ ЧАСТЬ"", ""МАРКА (ЗНАК ОПЛАТЫ)"", ""ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ"", ""СОСТАВНАЯ ЧАСТЬ""]"
4182,✳️,"[""148364-N""]","[""ЗВЕЗДОЧКА (ГРАФИЧЕСКИЙ ЗНАК)""]"
4183,✳,"[""148364-N""]","[""ЗВЕЗДОЧКА (ГРАФИЧЕСКИЙ ЗНАК)""]"
4184,✴️,"[""109931-N"", ""115172-N"", ""155137-N"", ""115173-N"", ""109497-A""]","[""ЗВЕЗДА (НЕБЕСНОЕ ТЕЛО)"", ""ЗВЕЗДА (ЗНАМЕНИТОСТЬ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ЗВЕЗДА (ФИГУРА)"", ""ОРАНЖЕВЫЙ ЦВЕТ""]"
4185,✴,"[""109931-N"", ""115172-N"", ""155137-N"", ""115173-N"", ""109497-A""]","[""ЗВЕЗДА (НЕБЕСНОЕ ТЕЛО)"", ""ЗВЕЗДА (ЗНАМЕНИТОСТЬ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ЗВЕЗДА (ФИГУРА)"", ""ОРАНЖЕВЫЙ ЦВЕТ""]"
4186,❇️,"[""131793-N""]","[""ИСКРЕНИЕ КОНТАКТОВ""]"
4187,❇,"[""131793-N""]","[""ИСКРЕНИЕ КОНТАКТОВ""]"
4188,©️,[],[]
4189,©,[],[]
