,emoji,keywords
282,☝🏻,"{""index"": 34, ""light"": 566, ""pointing"": 42}"
283,☝🏼,"{""index"": 34, ""medium-light"": 561, ""pointing"": 42}"
284,☝🏽,"{""index"": 34, ""medium"": 566, ""pointing"": 42}"
285,☝🏾,"{""index"": 34, ""medium-dark"": 561, ""pointing"": 42}"
286,☝🏿,"{""index"": 34, ""pointing"": 42, ""dark"": 564}"
287,👍,"{""thumbs"": 12, ""up"": 16}"
288,👍🏻,"{""up"": 16, ""light"": 566, ""thumbs"": 12}"
289,👍🏼,"{""up"": 16, ""medium-light"": 561, ""thumbs"": 12}"
290,👍🏽,"{""up"": 16, ""thumbs"": 12, ""medium"": 566}"
291,👍🏾,"{""up"": 16, ""thumbs"": 12, ""medium-dark"": 561}"
292,👍🏿,"{""up"": 16, ""thumbs"": 12, ""dark"": 564}"
293,👎,"{""down"": 12, ""thumbs"": 12, ""bad"": 1, ""dislike"": 1, ""no"": 43}"
294,👎🏻,"{""down"": 12, ""light"": 566, ""thumbs"": 12}"
295,👎🏼,"{""down"": 12, ""medium-light"": 561, ""thumbs"": 12}"
296,👎🏽,"{""down"": 12, ""thumbs"": 12, ""medium"": 566}"
297,👎🏾,"{""down"": 12, ""thumbs"": 12, ""medium-dark"": 561}"
298,👎🏿,"{""down"": 12, ""thumbs"": 12, ""dark"": 564}"
299,✊,"{""fist"": 24, ""raised"": 21, ""pump"": 2}"
300,✊🏻,"{""fist"": 24, ""light"": 566, ""raised"": 21}"
301,✊🏼,"{""fist"": 24, ""medium-light"": 561, ""raised"": 21}"
302,✊🏽,"{""fist"": 24, ""medium"": 566, ""raised"": 21}"
303,✊🏾,"{""fist"": 24, ""medium-dark"": 561, ""raised"": 21}"
304,✊🏿,"{""fist"": 24, ""raised"": 21, ""dark"": 564}"
305,👊,"{""fist"": 24, ""brofist"": 1, ""oncoming"": 10, ""bump"": 3, ""/"": 1, ""bro"": 1, ""punch"": 2}"
306,👊🏻,"{""fist"": 24, ""oncoming"": 10, ""light"": 566}"
307,👊🏼,"{""fist"": 24, ""oncoming"": 10, ""medium-light"": 561}"
308,👊🏽,"{""fist"": 24, ""oncoming"": 10, ""medium"": 566}"
309,👊🏾,"{""fist"": 24, ""oncoming"": 10, ""medium-dark"": 561}"
310,👊🏿,"{""fist"": 24, ""oncoming"": 10, ""dark"": 564}"
311,🤛,"{""fist"": 24, ""left-facing"": 6, ""bump"": 3, ""left"": 19}"
312,🤛🏻,"{""fist"": 24, ""left-facing"": 6, ""light"": 566}"
313,🤛🏼,"{""fist"": 24, ""left-facing"": 6, ""medium-light"": 561}"
314,🤛🏽,"{""fist"": 24, ""left-facing"": 6, ""medium"": 566}"
315,🤛🏾,"{""fist"": 24, ""left-facing"": 6, ""medium-dark"": 561}"
316,🤛🏿,"{""fist"": 24, ""left-facing"": 6, ""dark"": 564}"
317,🤜,"{""fist"": 24, ""right-facing"": 6, ""bump"": 3, ""right"": 22}"
318,🤜🏻,"{""fist"": 24, ""right-facing"": 6, ""light"": 566}"
319,🤜🏼,"{""fist"": 24, ""right-facing"": 6, ""medium-light"": 561}"
320,🤜🏽,"{""fist"": 24, ""right-facing"": 6, ""medium"": 566}"
321,🤜🏾,"{""fist"": 24, ""right-facing"": 6, ""medium-dark"": 561}"
322,🤜🏿,"{""fist"": 24, ""right-facing"": 6, ""dark"": 564}"
323,👏,"{""golf"": 4, ""applause"": 1, ""hands"": 131, ""clapping"": 6, ""round"": 3, ""clap"": 1}"
324,👏🏻,"{""hands"": 131, ""light"": 566, ""clapping"": 6}"
325,👏🏼,"{""hands"": 131, ""medium-light"": 561, ""clapping"": 6}"
326,👏🏽,"{""hands"": 131, ""clapping"": 6, ""medium"": 566}"
327,👏🏾,"{""hands"": 131, ""clapping"": 6, ""medium-dark"": 561}"
328,👏🏿,"{""hands"": 131, ""clapping"": 6, ""dark"": 564}"
329,🙌,"{""raising"": 36, ""air"": 3, ""miracle"": 1, ""hands"": 131, ""festivus"": 1, ""two"": 7, ""praise"": 1, ""arms"": 2, ""the"": 12, ""banzai"": 1, ""hallelujah"": 1}"
330,🙌🏻,"{""raising"": 36, ""hands"": 131, ""light"": 566}"
331,🙌🏼,"{""raising"": 36, ""hands"": 131, ""medium-light"": 561}"
332,🙌🏽,"{""raising"": 36, ""hands"": 131, ""medium"": 566}"
333,🙌🏾,"{""raising"": 36, ""hands"": 131, ""medium-dark"": 561}"
334,🙌🏿,"{""raising"": 36, ""hands"": 131, ""dark"": 564}"
335,👐,"{""jazz"": 3, ""open"": 15, ""hands"": 131, ""hug"": 2}"
336,👐🏻,"{""hands"": 131, ""light"": 566, ""open"": 15}"
337,👐🏼,"{""hands"": 131, ""medium-light"": 561, ""open"": 15}"
338,👐🏽,"{""hands"": 131, ""open"": 15, ""medium"": 566}"
339,👐🏾,"{""hands"": 131, ""open"": 15, ""medium-dark"": 561}"
340,👐🏿,"{""hands"": 131, ""open"": 15, ""dark"": 564}"
341,🤲,"{""up"": 16, ""together"": 6, ""dua"": 1, ""palms"": 6}"
342,🤲🏻,"{""up"": 16, ""palms"": 6, ""together"": 6, ""light"": 566}"
343,🤲🏼,"{""up"": 16, ""palms"": 6, ""together"": 6, ""medium-light"": 561}"
344,🤲🏽,"{""up"": 16, ""palms"": 6, ""together"": 6, ""medium"": 566}"
345,🤲🏾,"{""up"": 16, ""palms"": 6, ""together"": 6, ""medium-dark"": 561}"
346,🤲🏿,"{""up"": 16, ""palms"": 6, ""together"": 6, ""dark"": 564}"
347,🤝,"{""handshake"": 1, ""hands"": 131, ""shaking"": 1}"
348,🙏,"{""you"": 2, ""folded"": 6, ""hands"": 131, ""please"": 1, ""thank"": 1, ""namaste"": 1, ""prayer"": 2}"
349,🙏🏻,"{""folded"": 6, ""hands"": 131, ""light"": 566}"
350,🙏🏼,"{""folded"": 6, ""hands"": 131, ""medium-light"": 561}"
351,🙏🏽,"{""folded"": 6, ""hands"": 131, ""medium"": 566}"
352,🙏🏾,"{""folded"": 6, ""hands"": 131, ""medium-dark"": 561}"
353,🙏🏿,"{""folded"": 6, ""hands"": 131, ""dark"": 564}"
354,✍️,"{""hand"": 119, ""writing"": 7}"
355,✍,"{""hand"": 119, ""writing"": 7}"
356,✍🏻,"{""writing"": 7, ""light"": 566, ""hand"": 119}"
357,✍🏼,"{""writing"": 7, ""medium-light"": 561, ""hand"": 119}"
358,✍🏽,"{""writing"": 7, ""medium"": 566, ""hand"": 119}"
359,✍🏾,"{""writing"": 7, ""medium-dark"": 561, ""hand"": 119}"
360,✍🏿,"{""writing"": 7, ""hand"": 119, ""dark"": 564}"
361,💅,"{""manicure"": 1, ""nail"": 6, ""nonchalant"": 1, ""polish"": 7, ""fingers"": 21}"
362,💅🏻,"{""nail"": 6, ""light"": 566, ""polish"": 7}"
363,💅🏼,"{""nail"": 6, ""medium-light"": 561, ""polish"": 7}"
364,💅🏽,"{""nail"": 6, ""polish"": 7, ""medium"": 566}"
365,💅🏾,"{""nail"": 6, ""medium-dark"": 561, ""polish"": 7}"
366,💅🏿,"{""nail"": 6, ""polish"": 7, ""dark"": 564}"
367,🤳,"{""selfie"": 6, ""camera"": 5, ""hand"": 119, ""phone"": 10}"
368,🤳🏻,"{""light"": 566, ""selfie"": 6}"
369,🤳🏼,"{""medium-light"": 561, ""selfie"": 6}"
370,🤳🏽,"{""selfie"": 6, ""medium"": 566}"
371,🤳🏾,"{""medium-dark"": 561, ""selfie"": 6}"
372,🤳🏿,"{""selfie"": 6, ""dark"": 564}"
373,💪,"{""biceps"": 6, ""strong"": 1, ""muscles"": 1, ""arm"": 2, ""strength"": 2, ""muscle"": 1, ""flexing"": 1, ""feats"": 1, ""flexed"": 6}"
374,💪🏻,"{""biceps"": 6, ""light"": 566, ""flexed"": 6}"
375,💪🏼,"{""biceps"": 6, ""medium-light"": 561, ""flexed"": 6}"
376,💪🏽,"{""biceps"": 6, ""medium"": 566, ""flexed"": 6}"
377,💪🏾,"{""biceps"": 6, ""medium-dark"": 561, ""flexed"": 6}"
378,💪🏿,"{""biceps"": 6, ""flexed"": 6, ""dark"": 564}"
379,🦾,"{""arm"": 2, ""mechanical"": 2}"
380,🦿,"{""leg"": 8, ""mechanical"": 2}"
381,🦵,"{""leg"": 8}"
382,🦵🏻,"{""light"": 566, ""leg"": 8}"
383,🦵🏼,"{""medium-light"": 561, ""leg"": 8}"
384,🦵🏽,"{""leg"": 8, ""medium"": 566}"
385,🦵🏾,"{""leg"": 8, ""medium-dark"": 561}"
386,🦵🏿,"{""leg"": 8, ""dark"": 564}"
387,🦶,"{""foot"": 8}"
388,🦶🏻,"{""foot"": 8, ""light"": 566}"
389,🦶🏼,"{""foot"": 8, ""medium-light"": 561}"
390,🦶🏽,"{""foot"": 8, ""medium"": 566}"
391,🦶🏾,"{""foot"": 8, ""medium-dark"": 561}"
392,🦶🏿,"{""foot"": 8, ""dark"": 564}"
393,👂,"{""hearing"": 7, ""listening"": 1, ""ears"": 7, ""ear"": 13}"
394,👂🏻,"{""light"": 566, ""ear"": 13}"
395,👂🏼,"{""medium-light"": 561, ""ear"": 13}"
396,👂🏽,"{""medium"": 566, ""ear"": 13}"
397,👂🏾,"{""medium-dark"": 561, ""ear"": 13}"
398,👂🏿,"{""dark"": 564, ""ear"": 13}"
399,🦻,"{""aid"": 7, ""hearing"": 7, ""ear"": 13}"
400,🦻🏻,"{""aid"": 7, ""hearing"": 7, ""light"": 566, ""ear"": 13}"
401,🦻🏼,"{""aid"": 7, ""medium-light"": 561, ""hearing"": 7, ""ear"": 13}"
402,🦻🏽,"{""aid"": 7, ""hearing"": 7, ""medium"": 566, ""ear"": 13}"
403,🦻🏾,"{""aid"": 7, ""hearing"": 7, ""medium-dark"": 561, ""ear"": 13}"
404,🦻🏿,"{""aid"": 7, ""hearing"": 7, ""dark"": 564, ""ear"": 13}"
405,👃,"{""stinky"": 1, ""sniffing"": 1, ""nose"": 10, ""smelling"": 1}"
406,👃🏻,"{""nose"": 10, ""light"": 566}"
407,👃🏼,"{""nose"": 10, ""medium-light"": 561}"
408,👃🏽,"{""nose"": 10, ""medium"": 566}"
409,👃🏾,"{""nose"": 10, ""medium-dark"": 561}"
410,👃🏿,"{""nose"": 10, ""dark"": 564}"
411,🧠,"{""brain"": 3}"
412,🫀,"{""anatomical"": 1, ""heart"": 234}"
413,🫁,"{""lungs"": 1}"
414,🦷,"{""tooth"": 1}"
415,🦴,"{""bone"": 2}"
416,👀,"{""wide"": 2, ""eyeballs"": 1, ""eyes"": 19, ""shifty"": 1}"
417,👁️,"{""single"": 3, ""eye"": 11}"
418,👁,"{""single"": 3, ""eye"": 11}"
419,👅,"{""tongue"": 4}"
420,👄,"{""lips"": 3, ""kissing"": 8, ""mouth"": 11}"
421,👶,"{""toddler"": 1, ""baby"": 35, ""child"": 8}"
422,👶🏻,"{""baby"": 35, ""light"": 566}"
423,👶🏼,"{""baby"": 35, ""medium-light"": 561}"
424,👶🏽,"{""baby"": 35, ""medium"": 566}"
425,👶🏾,"{""baby"": 35, ""medium-dark"": 561}"
426,👶🏿,"{""baby"": 35, ""dark"": 564}"
427,🧒,"{""gender"": 6, ""child"": 8, ""neutral"": 8}"
428,🧒🏻,"{""light"": 566, ""child"": 8}"
429,🧒🏼,"{""medium-light"": 561, ""child"": 8}"
430,🧒🏽,"{""child"": 8, ""medium"": 566}"
431,🧒🏾,"{""medium-dark"": 561, ""child"": 8}"
432,🧒🏿,"{""child"": 8, ""dark"": 564}"
433,👦,"{""boy"": 26}"
434,👦🏻,"{""light"": 566, ""boy"": 26}"
435,👦🏼,"{""medium-light"": 561, ""boy"": 26}"
436,👦🏽,"{""medium"": 566, ""boy"": 26}"
437,👦🏾,"{""medium-dark"": 561, ""boy"": 26}"
438,👦🏿,"{""boy"": 26, ""dark"": 564}"
439,👧,"{""girl"": 24}"
440,👧🏻,"{""girl"": 24, ""light"": 566}"
441,👧🏼,"{""girl"": 24, ""medium-light"": 561}"
442,👧🏽,"{""girl"": 24, ""medium"": 566}"
443,👧🏾,"{""girl"": 24, ""medium-dark"": 561}"
444,👧🏿,"{""girl"": 24, ""dark"": 564}"
445,🧑,"{""adult"": 2, ""person"": 386, ""gender"": 6, ""neutral"": 8}"
446,🧑🏻,"{""light"": 566, ""person"": 386}"
447,🧑🏼,"{""medium-light"": 561, ""person"": 386}"
448,🧑🏽,"{""person"": 386, ""medium"": 566}"
449,🧑🏾,"{""person"": 386, ""medium-dark"": 561}"
450,🧑🏿,"{""person"": 386, ""dark"": 564}"
451,👱,"{""blond"": 30, ""person"": 386, ""man"": 1003, ""hair"": 86, ""blonde"": 2}"
452,👱🏻,"{""blond"": 30, ""light"": 566, ""person"": 386, ""hair"": 86}"
453,👱🏼,"{""blond"": 30, ""medium-light"": 561, ""person"": 386, ""hair"": 86}"
454,👱🏽,"{""blond"": 30, ""person"": 386, ""medium"": 566, ""hair"": 86}"
455,👱🏾,"{""blond"": 30, ""person"": 386, ""medium-dark"": 561, ""hair"": 86}"
456,👱🏿,"{""blond"": 30, ""person"": 386, ""hair"": 86, ""dark"": 564}"
457,👨,"{""male"": 15, ""moustache"": 1, ""man"": 1003}"
458,👨🏻,"{""light"": 566, ""man"": 1003}"
459,👨🏼,"{""medium-light"": 561, ""man"": 1003}"
460,👨🏽,"{""man"": 1003, ""medium"": 566}"
461,👨🏾,"{""medium-dark"": 561, ""man"": 1003}"
462,👨🏿,"{""man"": 1003, ""dark"": 564}"
463,🧔,"{""beard"": 30, ""person"": 386, ""bearded"": 3}"
464,🧔🏻,"{""light"": 566, ""person"": 386, ""beard"": 30}"
465,🧔🏼,"{""medium-light"": 561, ""person"": 386, ""beard"": 30}"
466,🧔🏽,"{""person"": 386, ""beard"": 30, ""medium"": 566}"
467,🧔🏾,"{""person"": 386, ""medium-dark"": 561, ""beard"": 30}"
468,🧔🏿,"{""person"": 386, ""beard"": 30, ""dark"": 564}"
469,🧔‍♂️,"{""beard"": 30, ""man"": 1003}"
470,🧔‍♂,"{""beard"": 30, ""man"": 1003}"
471,🧔🏻‍♂️,"{""light"": 566, ""man"": 1003, ""beard"": 30}"
472,🧔🏻‍♂,"{""light"": 566, ""man"": 1003, ""beard"": 30}"
473,🧔🏼‍♂️,"{""medium-light"": 561, ""man"": 1003, ""beard"": 30}"
474,🧔🏼‍♂,"{""medium-light"": 561, ""man"": 1003, ""beard"": 30}"
475,🧔🏽‍♂️,"{""man"": 1003, ""beard"": 30, ""medium"": 566}"
476,🧔🏽‍♂,"{""man"": 1003, ""beard"": 30, ""medium"": 566}"
477,🧔🏾‍♂️,"{""medium-dark"": 561, ""man"": 1003, ""beard"": 30}"
478,🧔🏾‍♂,"{""medium-dark"": 561, ""man"": 1003, ""beard"": 30}"
479,🧔🏿‍♂️,"{""man"": 1003, ""beard"": 30, ""dark"": 564}"
480,🧔🏿‍♂,"{""man"": 1003, ""beard"": 30, ""dark"": 564}"
481,🧔‍♀️,"{""beard"": 30, ""bearded"": 3, ""woman"": 1012}"
482,🧔‍♀,"{""beard"": 30, ""bearded"": 3, ""woman"": 1012}"
483,🧔🏻‍♀️,"{""light"": 566, ""beard"": 30, ""woman"": 1012}"
484,🧔🏻‍♀,"{""light"": 566, ""beard"": 30, ""woman"": 1012}"
485,🧔🏼‍♀️,"{""medium-light"": 561, ""beard"": 30, ""woman"": 1012}"
486,🧔🏼‍♀,"{""medium-light"": 561, ""beard"": 30, ""woman"": 1012}"
487,🧔🏽‍♀️,"{""beard"": 30, ""medium"": 566, ""woman"": 1012}"
488,🧔🏽‍♀,"{""beard"": 30, ""medium"": 566, ""woman"": 1012}"
489,🧔🏾‍♀️,"{""medium-dark"": 561, ""beard"": 30, ""woman"": 1012}"
490,🧔🏾‍♀,"{""medium-dark"": 561, ""beard"": 30, ""woman"": 1012}"
491,🧔🏿‍♀️,"{""dark"": 564, ""beard"": 30, ""woman"": 1012}"
492,🧔🏿‍♀,"{""dark"": 564, ""beard"": 30, ""woman"": 1012}"
493,👨‍🦰,"{""ginger"": 2, ""redhead"": 2, ""man"": 1003, ""hair"": 86, ""red"": 49}"
494,👨🏻‍🦰,"{""light"": 566, ""man"": 1003, ""hair"": 86, ""red"": 49}"
495,👨🏼‍🦰,"{""medium-light"": 561, ""man"": 1003, ""hair"": 86, ""red"": 49}"
496,👨🏽‍🦰,"{""man"": 1003, ""medium"": 566, ""hair"": 86, ""red"": 49}"
497,👨🏾‍🦰,"{""medium-dark"": 561, ""man"": 1003, ""hair"": 86, ""red"": 49}"
498,👨🏿‍🦰,"{""man"": 1003, ""hair"": 86, ""dark"": 564, ""red"": 49}"
499,👨‍🦱,"{""curly"": 21, ""hair"": 86, ""man"": 1003}"
500,👨🏻‍🦱,"{""light"": 566, ""curly"": 21, ""man"": 1003, ""hair"": 86}"
501,👨🏼‍🦱,"{""medium-light"": 561, ""curly"": 21, ""man"": 1003, ""hair"": 86}"
502,👨🏽‍🦱,"{""curly"": 21, ""man"": 1003, ""medium"": 566, ""hair"": 86}"
503,👨🏾‍🦱,"{""curly"": 21, ""medium-dark"": 561, ""man"": 1003, ""hair"": 86}"
504,👨🏿‍🦱,"{""curly"": 21, ""man"": 1003, ""hair"": 86, ""dark"": 564}"
505,👨‍🦳,"{""hair"": 86, ""man"": 1003, ""white"": 58}"
506,👨🏻‍🦳,"{""light"": 566, ""white"": 58, ""man"": 1003, ""hair"": 86}"
507,👨🏼‍🦳,"{""medium-light"": 561, ""white"": 58, ""man"": 1003, ""hair"": 86}"
508,👨🏽‍🦳,"{""white"": 58, ""man"": 1003, ""medium"": 566, ""hair"": 86}"
509,👨🏾‍🦳,"{""white"": 58, ""medium-dark"": 561, ""man"": 1003, ""hair"": 86}"
510,👨🏿‍🦳,"{""white"": 58, ""man"": 1003, ""hair"": 86, ""dark"": 564}"
511,👨‍🦲,"{""man"": 1003, ""bald"": 19}"
512,👨🏻‍🦲,"{""light"": 566, ""man"": 1003, ""bald"": 19}"
513,👨🏼‍🦲,"{""medium-light"": 561, ""man"": 1003, ""bald"": 19}"
514,👨🏽‍🦲,"{""man"": 1003, ""medium"": 566, ""bald"": 19}"
515,👨🏾‍🦲,"{""medium-dark"": 561, ""man"": 1003, ""bald"": 19}"
516,👨🏿‍🦲,"{""man"": 1003, ""dark"": 564, ""bald"": 19}"
517,👩,"{""yellow"": 10, ""lady"": 4, ""woman"": 1012, ""female"": 14}"
518,👩🏻,"{""light"": 566, ""woman"": 1012}"
519,👩🏼,"{""medium-light"": 561, ""woman"": 1012}"
520,👩🏽,"{""medium"": 566, ""woman"": 1012}"
521,👩🏾,"{""medium-dark"": 561, ""woman"": 1012}"
522,👩🏿,"{""woman"": 1012, ""dark"": 564}"
523,👩‍🦰,"{""ginger"": 2, ""redhead"": 2, ""hair"": 86, ""woman"": 1012, ""red"": 49}"
524,👩🏻‍🦰,"{""light"": 566, ""hair"": 86, ""woman"": 1012, ""red"": 49}"
525,👩🏼‍🦰,"{""medium-light"": 561, ""hair"": 86, ""woman"": 1012, ""red"": 49}"
526,👩🏽‍🦰,"{""medium"": 566, ""hair"": 86, ""woman"": 1012, ""red"": 49}"
527,👩🏾‍🦰,"{""medium-dark"": 561, ""hair"": 86, ""woman"": 1012, ""red"": 49}"
528,👩🏿‍🦰,"{""woman"": 1012, ""hair"": 86, ""dark"": 564, ""red"": 49}"
529,🧑‍🦰,"{""person"": 386, ""hair"": 86, ""red"": 49}"
530,🧑🏻‍🦰,"{""light"": 566, ""person"": 386, ""hair"": 86, ""red"": 49}"
531,🧑🏼‍🦰,"{""medium-light"": 561, ""person"": 386, ""hair"": 86, ""red"": 49}"
532,🧑🏽‍🦰,"{""person"": 386, ""medium"": 566, ""hair"": 86, ""red"": 49}"
533,🧑🏾‍🦰,"{""person"": 386, ""medium-dark"": 561, ""hair"": 86, ""red"": 49}"
534,🧑🏿‍🦰,"{""person"": 386, ""hair"": 86, ""dark"": 564, ""red"": 49}"
535,👩‍🦱,"{""curly"": 21, ""hair"": 86, ""woman"": 1012}"
536,👩🏻‍🦱,"{""light"": 566, ""curly"": 21, ""hair"": 86, ""woman"": 1012}"
537,👩🏼‍🦱,"{""medium-light"": 561, ""curly"": 21, ""hair"": 86, ""woman"": 1012}"
538,👩🏽‍🦱,"{""curly"": 21, ""medium"": 566, ""hair"": 86, ""woman"": 1012}"
539,👩🏾‍🦱,"{""curly"": 21, ""medium-dark"": 561, ""hair"": 86, ""woman"": 1012}"
540,👩🏿‍🦱,"{""curly"": 21, ""woman"": 1012, ""hair"": 86, ""dark"": 564}"
541,🧑‍🦱,"{""curly"": 21, ""person"": 386, ""hair"": 86}"
542,🧑🏻‍🦱,"{""light"": 566, ""curly"": 21, ""person"": 386, ""hair"": 86}"
543,🧑🏼‍🦱,"{""medium-light"": 561, ""curly"": 21, ""person"": 386, ""hair"": 86}"
544,🧑🏽‍🦱,"{""curly"": 21, ""person"": 386, ""medium"": 566, ""hair"": 86}"
545,🧑🏾‍🦱,"{""curly"": 21, ""person"": 386, ""medium-dark"": 561, ""hair"": 86}"
546,🧑🏿‍🦱,"{""curly"": 21, ""person"": 386, ""hair"": 86, ""dark"": 564}"
547,👩‍🦳,"{""hair"": 86, ""woman"": 1012, ""white"": 58}"
548,👩🏻‍🦳,"{""light"": 566, ""white"": 58, ""hair"": 86, ""woman"": 1012}"
549,👩🏼‍🦳,"{""medium-light"": 561, ""white"": 58, ""hair"": 86, ""woman"": 1012}"
550,👩🏽‍🦳,"{""white"": 58, ""medium"": 566, ""hair"": 86, ""woman"": 1012}"
551,👩🏾‍🦳,"{""white"": 58, ""medium-dark"": 561, ""hair"": 86, ""woman"": 1012}"
552,👩🏿‍🦳,"{""white"": 58, ""woman"": 1012, ""hair"": 86, ""dark"": 564}"
553,🧑‍🦳,"{""person"": 386, ""hair"": 86, ""white"": 58}"
554,🧑🏻‍🦳,"{""light"": 566, ""white"": 58, ""person"": 386, ""hair"": 86}"
555,🧑🏼‍🦳,"{""medium-light"": 561, ""white"": 58, ""person"": 386, ""hair"": 86}"
556,🧑🏽‍🦳,"{""white"": 58, ""person"": 386, ""medium"": 566, ""hair"": 86}"
557,🧑🏾‍🦳,"{""white"": 58, ""person"": 386, ""medium-dark"": 561, ""hair"": 86}"
558,🧑🏿‍🦳,"{""white"": 58, ""person"": 386, ""hair"": 86, ""dark"": 564}"
559,👩‍🦲,"{""woman"": 1012, ""bald"": 19}"
560,👩🏻‍🦲,"{""light"": 566, ""woman"": 1012, ""bald"": 19}"
561,👩🏼‍🦲,"{""medium-light"": 561, ""woman"": 1012, ""bald"": 19}"
562,👩🏽‍🦲,"{""medium"": 566, ""woman"": 1012, ""bald"": 19}"
563,👩🏾‍🦲,"{""medium-dark"": 561, ""woman"": 1012, ""bald"": 19}"
564,👩🏿‍🦲,"{""dark"": 564, ""woman"": 1012, ""bald"": 19}"
565,🧑‍🦲,"{""person"": 386, ""bald"": 19}"
566,🧑🏻‍🦲,"{""light"": 566, ""person"": 386, ""bald"": 19}"
567,🧑🏼‍🦲,"{""medium-light"": 561, ""person"": 386, ""bald"": 19}"
568,🧑🏽‍🦲,"{""person"": 386, ""medium"": 566, ""bald"": 19}"
569,🧑🏾‍🦲,"{""person"": 386, ""medium-dark"": 561, ""bald"": 19}"
570,🧑🏿‍🦲,"{""person"": 386, ""dark"": 564, ""bald"": 19}"
571,👱‍♀️,"{""blond"": 30, ""hair"": 86, ""woman"": 1012}"
572,👱‍♀,"{""blond"": 30, ""hair"": 86, ""woman"": 1012}"
573,👱🏻‍♀️,"{""blond"": 30, ""light"": 566, ""hair"": 86, ""woman"": 1012}"
574,👱🏻‍♀,"{""blond"": 30, ""light"": 566, ""hair"": 86, ""woman"": 1012}"
575,👱🏼‍♀️,"{""blond"": 30, ""medium-light"": 561, ""hair"": 86, ""woman"": 1012}"
576,👱🏼‍♀,"{""blond"": 30, ""medium-light"": 561, ""hair"": 86, ""woman"": 1012}"
577,👱🏽‍♀️,"{""blond"": 30, ""medium"": 566, ""hair"": 86, ""woman"": 1012}"
578,👱🏽‍♀,"{""blond"": 30, ""medium"": 566, ""hair"": 86, ""woman"": 1012}"
579,👱🏾‍♀️,"{""blond"": 30, ""medium-dark"": 561, ""hair"": 86, ""woman"": 1012}"
580,👱🏾‍♀,"{""blond"": 30, ""medium-dark"": 561, ""hair"": 86, ""woman"": 1012}"
581,👱🏿‍♀️,"{""blond"": 30, ""woman"": 1012, ""hair"": 86, ""dark"": 564}"
582,👱🏿‍♀,"{""blond"": 30, ""woman"": 1012, ""hair"": 86, ""dark"": 564}"
583,👱‍♂️,"{""blond"": 30, ""hair"": 86, ""man"": 1003}"
584,👱‍♂,"{""blond"": 30, ""hair"": 86, ""man"": 1003}"
585,👱🏻‍♂️,"{""blond"": 30, ""light"": 566, ""man"": 1003, ""hair"": 86}"
586,👱🏻‍♂,"{""blond"": 30, ""light"": 566, ""man"": 1003, ""hair"": 86}"
587,👱🏼‍♂️,"{""blond"": 30, ""medium-light"": 561, ""man"": 1003, ""hair"": 86}"
588,👱🏼‍♂,"{""blond"": 30, ""medium-light"": 561, ""man"": 1003, ""hair"": 86}"
589,👱🏽‍♂️,"{""blond"": 30, ""man"": 1003, ""medium"": 566, ""hair"": 86}"
590,👱🏽‍♂,"{""blond"": 30, ""man"": 1003, ""medium"": 566, ""hair"": 86}"
591,👱🏾‍♂️,"{""blond"": 30, ""medium-dark"": 561, ""man"": 1003, ""hair"": 86}"
592,👱🏾‍♂,"{""blond"": 30, ""medium-dark"": 561, ""man"": 1003, ""hair"": 86}"
593,👱🏿‍♂️,"{""blond"": 30, ""man"": 1003, ""hair"": 86, ""dark"": 564}"
594,👱🏿‍♂,"{""blond"": 30, ""man"": 1003, ""hair"": 86, ""dark"": 564}"
595,🧓,"{""older"": 6, ""gender"": 6, ""person"": 386, ""adult"": 2, ""neutral"": 8}"
596,🧓🏻,"{""older"": 6, ""light"": 566, ""person"": 386}"
597,🧓🏼,"{""older"": 6, ""medium-light"": 561, ""person"": 386}"
598,🧓🏽,"{""older"": 6, ""person"": 386, ""medium"": 566}"
599,🧓🏾,"{""older"": 6, ""person"": 386, ""medium-dark"": 561}"
600,🧓🏿,"{""older"": 6, ""person"": 386, ""dark"": 564}"
601,👴,"{""elderly"": 2, ""grandpa"": 1, ""old"": 16, ""man"": 1003}"
602,👴🏻,"{""old"": 16, ""light"": 566, ""man"": 1003}"
603,👴🏼,"{""old"": 16, ""medium-light"": 561, ""man"": 1003}"
604,👴🏽,"{""old"": 16, ""man"": 1003, ""medium"": 566}"
605,👴🏾,"{""old"": 16, ""medium-dark"": 561, ""man"": 1003}"
606,👴🏿,"{""old"": 16, ""man"": 1003, ""dark"": 564}"
607,👵,"{""elderly"": 2, ""grandma"": 1, ""nanna"": 1, ""old"": 16, ""lady"": 4, ""woman"": 1012}"
608,👵🏻,"{""old"": 16, ""light"": 566, ""woman"": 1012}"
609,👵🏼,"{""old"": 16, ""medium-light"": 561, ""woman"": 1012}"
610,👵🏽,"{""old"": 16, ""medium"": 566, ""woman"": 1012}"
611,👵🏾,"{""old"": 16, ""medium-dark"": 561, ""woman"": 1012}"
612,👵🏿,"{""old"": 16, ""woman"": 1012, ""dark"": 564}"
613,🙍,"{""person"": 386, ""sad"": 10, ""frowning"": 34, ""woman"": 1012}"
614,🙍🏻,"{""light"": 566, ""person"": 386, ""frowning"": 34}"
615,🙍🏼,"{""medium-light"": 561, ""person"": 386, ""frowning"": 34}"
616,🙍🏽,"{""person"": 386, ""frowning"": 34, ""medium"": 566}"
617,🙍🏾,"{""person"": 386, ""medium-dark"": 561, ""frowning"": 34}"
618,🙍🏿,"{""person"": 386, ""frowning"": 34, ""dark"": 564}"
